gene,symbol,score
ENSG00000121440,PDZRN3,50260.48379367195
ENSG00000113805,CNTN3,8418.127181253656
ENSG00000179097,HTR1F,2058.7004317029196
ENSG00000154175,ABI3BP,
ENSG00000144802,NFKBIZ,3063.214670984443
ENSG00000170017,ALCAM,2655.4110834021617
ENSG00000114439,BBX,1568.6740005982122
ENSG00000177707,NECTIN3,2585.6694545003684
ENSG00000091986,CCDC80,78.01415300008544
ENSG00000144857,BOC,4326.800666520092
ENSG00000181722,ZBTB20,3996.549076766878
ENSG00000172020,GAP43,3827.6783991439993
ENSG00000185565,LSAMP,3757.0562495429353
ENSG00000163430,FSTL1,4744.913766081577
ENSG00000051341,POLQ,25804.918019317076
ENSG00000180353,HCLS1,1948831.5370142204
ENSG00000114023,FAM162A,1999.4789869455258
ENSG00000173193,PARP14,3240.7626320927197
ENSG00000082781,ITGB5,1511.162916014668
ENSG00000173706,HEG1,2097.1791718022637
ENSG00000250012,,86789.65821302509
ENSG00000073111,MCM2,3498.4691283699594
ENSG00000074416,MGLL,3505.2600648690254
ENSG00000179348,GATA2,
ENSG00000114654,EFCC1,
ENSG00000184897,H1-10,5173.998273269791
ENSG00000114107,CEP70,5160.426645466673
ENSG00000114115,RBP1,4956.7028766027
ENSG00000158258,CLSTN2,10488.762137588648
ENSG00000181744,DIPK2A,3570.2713319805616
ENSG00000152952,PLOD2,1124.4852014743883
ENSG00000188313,PLSCR1,1438.1518326596663
ENSG00000152977,ZIC1,1266.9920064015355
ENSG00000239922,LOC124909496,
ENSG00000018408,WWTR1,2845.757422296995
ENSG00000206199,ANKUB1,
ENSG00000070087,PFN2,4617.516778434938
ENSG00000163646,CLRN1,204548.43555584704
ENSG00000144893,MED12L,6267.427069004363
ENSG00000169860,P2RY1,1789.0125413630965
ENSG00000114790,ARHGEF26,9253.30763932825
ENSG00000196549,MME,11994.079348094896
ENSG00000243629,LINC00880,5207.289352666745
ENSG00000163660,CCNL1,3333.5339892937072
ENSG00000197415,VEPH1,2337.0300875129906
ENSG00000178053,MLF1,4751.291373219365
ENSG00000214216,IQCJ,18997.7066989917
ENSG00000113810,SMC4,4782.693360482239
ENSG00000213186,TRIM59,8271.927244775057
ENSG00000244128,LINC01322,6029.084455838097
ENSG00000163536,SERPINI1,4651.979827707711
ENSG00000085276,MECOM,290602.01869948016
ENSG00000163584,RPL22L1,5374.151354598152
ENSG00000075651,PLD1,
ENSG00000114346,ECT2,3455.8929221695016
ENSG00000172667,ZMAT3,6981.137828313311
ENSG00000239381,,
ENSG00000181449,SOX2,7079.878912226877
ENSG00000244405,ETV5,3667.5931901136287
ENSG00000163918,RFC4,4544.419846324727
ENSG00000127241,MASP1,3001.023585878772
ENSG00000157005,SST,8952.2299110472
ENSG00000224187,LINC01991,
ENSG00000090530,P3H2,5213.727191363467
ENSG00000114279,FGF12,5551.458715879754
ENSG00000114315,HES1,9268.930915187995
ENSG00000230401,LINC01972,
ENSG00000163945,UVSSA,3985.6038754202605
ENSG00000013810,TACC3,6788.533913394083
ENSG00000068078,FGFR3,13056.907938738961
ENSG00000170891,CYTL1,
ENSG00000152953,STK32B,2868.5011812280627
ENSG00000004468,CD38,
ENSG00000007062,PROM1,16068.771885669034
ENSG00000169744,LDB2,4808.749355568178
ENSG00000109805,NCAPG,3313.449362370697
ENSG00000280650,KCNIP4-IT1,77174673.79613778
ENSG00000109610,SOD3,
ENSG00000091490,SEL1L3,4802.315846161069
ENSG00000169851,PCDH7,5087.596216130699
ENSG00000047365,ARAP2,28388.37382258866
ENSG00000247193,LOC439933,13665.128877899679
ENSG00000197712,FAM114A1,7342.090146797072
ENSG00000035928,RFC1,3705.0360859914604
ENSG00000168421,RHOH,
ENSG00000163697,APBB2,5380.128482864729
ENSG00000154277,UCHL1,6218.013629082421
ENSG00000064042,LIMCH1,4536.505425419113
ENSG00000251350,LINC02475,
ENSG00000109158,GABRA4,9478.554156627564
ENSG00000163288,GABRB1,5889.449641542227
ENSG00000109182,CWH43,
ENSG00000128045,RASL11B,6107.995184696011
ENSG00000180613,GSX2,
ENSG00000134853,PDGFRA,4161.180782490013
ENSG00000163440,PDCL2,
ENSG00000109255,NMU,135984.17455601026
ENSG00000174799,CEP135,6088.7117122567815
ENSG00000128050,PAICS,4565.481904776392
ENSG00000171476,HOPX,4909.012992887469
ENSG00000084093,REST,8972.92058379651
ENSG00000163453,IGFBP7,13219.183474881533
ENSG00000150471,ADGRL3,4259.290537414259
ENSG00000205678,TECRL,
ENSG00000145241,CENPC,4607.400160928633
ENSG00000080493,SLC4A4,5661.27731620356
ENSG00000169429,CXCL8,57540.68651429016
ENSG00000163736,PPBP,
ENSG00000163734,CXCL3,
ENSG00000081041,CXCL2,403556.87004485953
ENSG00000124882,EREG,2730.771392834266
ENSG00000138771,SHROOM3,5038.454169169409
ENSG00000138758,SEPTIN11,5432.896429123154
ENSG00000138670,RASGEF1B,3901.2371277605957
ENSG00000138678,GPAT3,
ENSG00000251260,WDFY3-AS1,20737.777445516436
ENSG00000152583,SPARCL1,85928.81577891984
ENSG00000152591,DSPP,
ENSG00000118785,SPP1,3629.8868697433572
ENSG00000163644,PPM1K,6347.7492122396425
ENSG00000138646,HERC5,16173.466961379143
ENSG00000152208,GRID2,11411.90627979892
ENSG00000163110,PDLIM5,3528.2817755353108
ENSG00000138823,MTTP,16713.595653504533
ENSG00000164032,H2AZ1,6533.782200842208
ENSG00000138778,CENPE,5695.02178520222
ENSG00000168772,CXXC4,9232.027265287636
ENSG00000168743,NPNT,
ENSG00000138796,HADH,6584.826071711691
ENSG00000138795,LEF1,
ENSG00000005059,MCUB,2279.395482058091
ENSG00000178403,NEUROG2,3494.4954153004364
ENSG00000138658,ZGRF1,4514.820320703361
ENSG00000164099,PRSS12,5429.5912077483135
ENSG00000172403,SYNPO2,7039.109638990168
ENSG00000164109,MAD2L1,8321.53762435117
ENSG00000164111,ANXA5,5566.794215960117
ENSG00000145386,CCNA2,6924.976981188725
ENSG00000164056,SPRY1,5716.717587356768
ENSG00000164066,INTU,3978.538324465966
ENSG00000142731,PLK4,7219.146693580332
ENSG00000077684,JADE1,3862.7683736034796
ENSG00000138650,PCDH10,3354.787298352767
ENSG00000151012,SLC7A11,1565.500591961827
ENSG00000153132,CLGN,4763.154792706847
ENSG00000109458,GAB1,6583.729769446268
ENSG00000250361,GYPB,11417.339276700874
ENSG00000164161,HHIP,76244.15775717855
ENSG00000151617,EDNRA,3884.1412125194242
ENSG00000109670,FBXW7,6472.35058063178
ENSG00000121211,MND1,6810.057347791676
ENSG00000145423,SFRP2,1316.1674054701368
ENSG00000185149,NPY2R,1185.7112108955187
ENSG00000120251,GRIA2,4073.2724691549897
ENSG00000164125,GASK1B,92149.48722480732
ENSG00000171509,RXFP1,
ENSG00000168843,FSTL5,3406.847414087794
ENSG00000164128,NPY1R,4402.225780798772
ENSG00000052802,MSMO1,5787.611999913321
ENSG00000129116,PALLD,6569.552901246168
ENSG00000174473,GALNTL6,
ENSG00000164104,HMGB2,2936.1023993365147
ENSG00000164105,SAP30,3720.017674537959
ENSG00000164106,SCRG1,7166.943754300097
ENSG00000249945,,27283.277251556585
ENSG00000109674,NEIL3,9562.685284827
ENSG00000151718,WWC2,4355.7496798701995
ENSG00000164305,CASP3,6113.339230113366
ENSG00000151725,CENPU,5183.948982146509
ENSG00000154553,PDLIM3,6135.122364507924
ENSG00000083857,FAT1,12401.446640066983
ENSG00000188818,ZDHHC11,7118.829432191013
ENSG00000153395,LPCAT1,2813.1013080638763
ENSG00000170561,IRX2,
