,gene_name,total_highly_variable,total_velocity_genes,total_fit_loss,317s1_highly_variable,317s1_velocity_genes,317s1_fit_loss,317s2_highly_variable,317s2_velocity_genes,317s2_fit_loss,320s1_highly_variable,320s1_velocity_genes,320s1_fit_loss,320s2_highly_variable,320s2_velocity_genes,320s2_fit_loss,323s1_highly_variable,323s1_velocity_genes,323s1_fit_loss,323s2_highly_variable,323s2_velocity_genes,323s2_fit_loss,326s1_highly_variable,326s1_velocity_genes,326s1_fit_loss,326s2_highly_variable,326s2_velocity_genes,326s2_fit_loss,329s1_highly_variable,329s1_velocity_genes,329s1_fit_loss,329s2_highly_variable,329s2_velocity_genes,329s2_fit_loss,overdisp_S,overdisp_U,nonzero_S,nonzero_U
3265,Tapt1,,,,,,,,,,True,False,0.05793308839201927,,,,,,,,,,,,,,,,,,,,,,3.02910804963143,0.959457861448702,0.07873376623376624,0.1093073593073593
3266,Tardbp,,,,,,,True,False,0.5069977641105652,,,,True,False,0.34136858582496643,,,,,,,,,,,,,,,,,,,2.01453020694012,3.52852025899123,0.1185064935064935,0.358495670995671
3267,Tbc1d10b,True,False,0.03698304295539856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71308691795818,1.20580513305042,0.11661255411255411,0.024080086580086583
3268,Tbc1d12,True,False,0.09899730235338211,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,0.03314511850476265,1.5520887294324,0.627823580770802,0.052759740259740256,0.10091991341991341
3269,Tbc1d15,,,,,,,,,,,,,,,,True,False,0.04100564122200012,,,,True,False,0.043614745140075684,,,,,,,,,,6.69540941080009,0.47225009969302,0.17532467532467533,0.045725108225108224
3270,Tbc1d16,True,True,0.030572088435292244,True,False,0.12211357802152634,True,False,0.12288277596235275,True,False,0.14021779596805573,True,False,0.12171033769845963,True,False,0.10839719325304031,True,True,0.0069344909861683846,True,False,0.1376793384552002,True,False,0.11720015108585358,True,False,0.07455212622880936,True,True,0.005420093424618244,1.92687153168834,2.19974540524266,0.23809523809523808,0.174512987012987
3271,Tbc1d22a,True,False,0.1194915845990181,,,,,,,,,,,,,,,,,,,True,False,0.040985364466905594,,,,,,,True,False,0.06369669735431671,1.147131118615,1.63837373795228,0.061147186147186144,0.10930735930735931
3272,Tbc1d23,,,,True,False,0.1343882977962494,,,,,,,True,False,0.094615139067173,True,False,0.11526769399642944,,,,,,,True,False,0.0855768620967865,,,,,,,inf,7.44405096737843,0.06601731601731602,0.23647186147186147
3273,Tbc1d8,True,True,0.006951667834073305,True,True,0.0035132453776896,True,True,0.001164367888122797,True,True,0.0031701119150966406,True,True,0.004722008015960455,True,True,0.004799249581992626,True,True,0.0036704472731798887,True,True,0.005473674274981022,True,True,0.0034355041570961475,True,True,0.0012665058020502329,True,True,0.004809235222637653,1.05436525444755,0.755659619498607,0.06574675324675325,0.16585497835497837
3274,Tbc1d9,True,True,0.043355461210012436,True,True,0.004667420405894518,True,True,0.0031824451871216297,True,True,0.005356285255402327,True,True,0.003096449188888073,True,True,0.004555422347038984,True,True,0.003490766044706106,True,True,0.004301748238503933,True,True,0.022740375250577927,True,True,0.006009069737046957,True,True,0.003038441063836217,0.550918419586615,0.380296822643604,0.1341991341991342,0.1801948051948052
